# RA = 12 56 11.10 (194.04625)
# Dec = -05 47 21.00 (-5.789167)
# Redshift = 0.0
# nH = 2.24E20 cm^-2 
# NuBlazar (id = 144)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.7190E18     1.7890E17    2.7946E-11   4.4724E-12    56657.990405093    56658.924398148
9.1010E18     2.0310E17    2.2638E-11   4.2434E-12    56657.990405093    56658.924398148
9.5030E18     1.9830E17    2.1907E-11   4.7699E-12    56657.990405093    56658.924398148
9.9160E18     2.1520E17    2.8710E-11   5.3961E-12    56657.990405093    56658.924398148
1.0350E19     2.1760E17    2.8762E-11   5.7565E-12    56657.990405093    56658.924398148
1.0780E19     2.1280E17    2.8470E-11   6.4669E-12    56657.990405093    56658.924398148
1.1230E19     2.3450E17    3.1148E-11   6.7847E-12    56657.990405093    56658.924398148
1.1780E19     3.1430E17    2.1930E-11   5.9129E-12    56657.990405093    56658.924398148
1.2390E19     2.9980E17    2.7795E-11   7.5060E-12    56657.990405093    56658.924398148
1.2930E19     2.4420E17    4.7554E-11   1.1046E-11    56657.990405093    56658.924398148
1.3560E19     3.8450E17    2.4610E-11   8.2658E-12    56657.990405093    56658.924398148
1.4370E19     4.1830E17    3.0611E-11   9.8472E-12    56657.990405093    56658.924398148
1.5110E19     3.2400E17    5.6052E-11   1.6318E-11    56657.990405093    56658.924398148
1.5870E19     4.3520E17    4.0512E-11   1.5090E-11    56657.990405093    56658.924398148
7.9310E17     6.7700E16    7.2863E-12   4.2328E-13    59317.129305556    59317.577199074
9.2850E17     6.7700E16    6.9721E-12   3.9791E-13    59317.129305556    59317.577199074
1.0640E18     6.7700E16    7.4255E-12   4.1721E-13    59317.129305556    59317.577199074
1.1990E18     6.7700E16    7.7466E-12   4.4255E-13    59317.129305556    59317.577199074
1.3350E18     6.7700E16    7.2380E-12   4.4793E-13    59317.129305556    59317.577199074
1.4700E18     6.7700E16    6.7071E-12   4.5026E-13    59317.129305556    59317.577199074
1.6060E18     6.7700E16    7.7655E-12   5.1261E-13    59317.129305556    59317.577199074
1.7410E18     6.7700E16    8.2773E-12   5.6089E-13    59317.129305556    59317.577199074
1.8760E18     6.7700E16    7.9724E-12   5.8173E-13    59317.129305556    59317.577199074
2.0120E18     6.7700E16    9.0663E-12   6.5608E-13    59317.129305556    59317.577199074
2.1470E18     6.7700E16    8.0708E-12   6.5338E-13    59317.129305556    59317.577199074
2.2830E18     6.7700E16    7.6655E-12   6.7481E-13    59317.129305556    59317.577199074
2.4180E18     6.7700E16    8.8848E-12   7.8579E-13    59317.129305556    59317.577199074
2.5530E18     6.7700E16    6.9937E-12   7.6387E-13    59317.129305556    59317.577199074
2.6890E18     6.7700E16    7.9532E-12   8.6935E-13    59317.129305556    59317.577199074
2.8240E18     6.7700E16    6.8998E-12   9.0015E-13    59317.129305556    59317.577199074
2.9600E18     6.7700E16    7.9494E-12   1.0396E-12    59317.129305556    59317.577199074
3.0970E18     7.0120E16    8.1357E-12   1.0861E-12    59317.129305556    59317.577199074
3.2350E18     6.7700E16    8.9494E-12   1.2533E-12    59317.129305556    59317.577199074
3.3710E18     6.7700E16    8.9514E-12   1.3386E-12    59317.129305556    59317.577199074
3.5090E18     7.0120E16    8.2123E-12   1.3398E-12    59317.129305556    59317.577199074
3.6510E18     7.2540E16    9.7822E-12   1.5209E-12    59317.129305556    59317.577199074
3.8010E18     7.7380E16    9.0349E-12   1.5017E-12    59317.129305556    59317.577199074
3.9510E18     7.2540E16    9.2187E-12   1.6697E-12    59317.129305556    59317.577199074
4.1030E18     7.9790E16    8.9092E-12   1.6499E-12    59317.129305556    59317.577199074
4.2560E18     7.2540E16    1.0283E-11   1.9761E-12    59317.129305556    59317.577199074
4.4180E18     8.9470E16    9.7609E-12   1.8207E-12    59317.129305556    59317.577199074
4.5800E18     7.2540E16    1.1520E-11   2.3356E-12    59317.129305556    59317.577199074
4.7440E18     9.1880E16    9.0782E-12   1.9668E-12    59317.129305556    59317.577199074
4.9520E18     1.1610E17    9.6656E-12   1.9528E-12    59317.129305556    59317.577199074
5.1910E18     1.2330E17    7.4777E-12   1.8296E-12    59317.129305556    59317.577199074
5.4160E18     1.0160E17    1.1604E-11   2.6707E-12    59317.129305556    59317.577199074
5.6220E18     1.0400E17    1.2514E-11   2.9981E-12    59317.129305556    59317.577199074
5.8370E18     1.1120E17    1.0185E-11   2.8689E-12    59317.129305556    59317.577199074
6.0620E18     1.1360E17    1.1430E-11   3.4094E-12    59317.129305556    59317.577199074
6.3470E18     1.7170E17    8.6256E-12   2.5749E-12    59317.129305556    59317.577199074
6.6590E18     1.4020E17    1.4813E-11   4.2687E-12    59317.129305556    59317.577199074
6.9540E18     1.5480E17    1.1451E-11   4.1256E-12    59317.129305556    59317.577199074
7.2370E18     1.2820E17    1.3440E-11   5.3259E-12    59317.129305556    59317.577199074
7.5300E18     1.6440E17    1.3312E-11   4.7918E-12    59317.129305556    59317.577199074
7.9910E18     2.9740E17    5.9727E-12   2.8905E-12    59317.129305556    59317.577199074
# BeppoSAX Spectra (Giommi et al. 2002) (id = 143)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.0430E17     1.6290E16    1.3698E-12   9.4939E-13    50461.95515    50462.47714
1.4290E17     2.2330E16    2.5399E-12   6.8075E-13    50461.95515    50462.47714
1.9580E17     3.0600E16    1.8757E-12   3.9611E-13    50461.95515    50462.47714
2.6840E17     4.1930E16    2.5176E-12   4.1351E-13    50461.95515    50462.47714
3.6780E17     5.7460E16    2.2381E-12   3.9598E-13    50461.95515    50462.47714
5.0400E17     7.8750E16    2.6857E-12   3.0805E-13    50461.95515    50462.47714
6.9060E17     1.0790E17    3.0028E-12   3.5897E-13    50461.95515    50462.47714
9.4640E17     1.4790E17    3.3548E-12   4.1937E-13    50461.95515    50462.47714
1.2970E18     2.0270E17    3.8643E-12   5.6056E-13    50461.95515    50462.47714
1.7770E18     2.7770E17    3.8412E-12   8.1963E-13    50461.95515    50462.47714
2.4360E18     3.8060E17    5.5464E-12   1.6663E-12    50461.95515    50462.47714
1.3360E17     2.0050E16    2.3555E-12   9.1262E-13    50463.89247    50464.4327
1.8080E17     2.7120E16    2.5686E-12   5.1701E-13    50463.89247    50464.4327
2.4460E17     3.6700E16    2.2246E-12   3.9175E-13    50463.89247    50464.4327
3.3100E17     4.9650E16    2.2794E-12   4.0570E-13    50463.89247    50464.4327
4.4780E17     6.7180E16    2.7416E-12   2.8423E-13    50463.89247    50464.4327
6.0590E17     9.0900E16    3.0731E-12   3.3879E-13    50463.89247    50464.4327
8.1980E17     1.2300E17    2.9298E-12   3.5965E-13    50463.89247    50464.4327
1.1090E18     1.6640E17    3.7597E-12   4.6435E-13    50463.89247    50464.4327
1.5010E18     2.2510E17    4.1095E-12   6.3911E-13    50463.89247    50464.4327
2.0300E18     3.0460E17    4.5140E-12   1.1177E-12    50463.89247    50464.4327
2.7470E18     4.1210E17    4.9035E-12   1.7803E-12    50463.89247    50464.4327
1.8170E17     2.5850E16    2.8631E-12   7.5849E-13    50469.85466    50470.17368
2.4200E17     3.4430E16    2.0293E-12   5.3883E-13    50469.85466    50470.17368
3.2220E17     4.5850E16    2.5695E-12   6.8811E-13    50469.85466    50470.17368
4.2910E17     6.1060E16    2.7422E-12   4.0594E-13    50469.85466    50470.17368
5.7150E17     8.1320E16    2.9927E-12   4.7341E-13    50469.85466    50470.17368
7.6110E17     1.0830E17    3.2280E-12   5.1836E-13    50469.85466    50470.17368
1.0140E18     1.4420E17    3.2441E-12   5.7871E-13    50469.85466    50470.17368
1.3500E18     1.9210E17    4.0880E-12   8.1661E-13    50469.85466    50470.17368
1.7980E18     2.5580E17    4.6072E-12   1.2260E-12    50469.85466    50470.17368
2.3940E18     3.4070E17    3.0551E-12   1.7743E-12    50469.85466    50470.17368
1.3360E17     2.0050E16    2.1653E-12   7.1701E-13    50471.42884    50471.96743
1.8080E17     2.7120E16    1.2891E-12   3.2388E-13    50471.42884    50471.96743
2.4460E17     3.6700E16    2.6144E-12   3.6809E-13    50471.42884    50471.96743
3.3100E17     4.9650E16    2.9277E-12   3.9281E-13    50471.42884    50471.96743
4.4780E17     6.7180E16    2.8292E-12   2.8409E-13    50471.42884    50471.96743
6.0590E17     9.0900E16    3.0043E-12   3.3076E-13    50471.42884    50471.96743
8.1980E17     1.2300E17    3.1480E-12   3.6508E-13    50471.42884    50471.96743
1.1090E18     1.6640E17    3.4188E-12   4.3757E-13    50471.42884    50471.96743
1.5010E18     2.2510E17    4.2409E-12   6.3625E-13    50471.42884    50471.96743
2.0300E18     3.0460E17    4.1964E-12   1.0435E-12    50471.42884    50471.96743
2.7470E18     4.1210E17    4.7061E-12   1.7240E-12    50471.42884    50471.96743
# MAGIC (id = 141)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.4720E25     0.0000E00    7.5130E-12   3.7150E-12    54116.0    54116.0
5.6450E25     0.0000E00    7.9930E-12   4.9100E-12    54116.0    54116.0
3.4070E25     0.0000E00    3.9260E-11   2.5110E-11    54116.0    54116.0
8.8370E25     0.0000E00    5.7280E-12   5.3280E-12    53789.0    53789.0
5.8980E25     0.0000E00    9.5020E-12   5.5610E-12    53789.0    53789.0
3.6300E25     0.0000E00    1.7510E-11   1.0010E-11    53789.0    53789.0
2.4230E25     0.0000E00    3.8200E-11   1.6950E-11    53789.0    53789.0
1.6170E25     0.0000E00    1.9360E-10   5.7150E-11    53789.0    53789.0
# MAGIC (id = 142)
