# RA = 16 53 52.21 (253.46754)
# Dec = +39 45 37.58 (39.76044)
# Redshift = 0.0
# nH = 1.69E20 cm^-2 
# NuBlazar (id = 124)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.1320E18     1.3540E17    1.4298E-10   1.5528E-12    56485.896597222    56486.157002315
1.4020E18     1.3540E17    1.4056E-10   1.6692E-12    56485.896597222    56486.157002315
1.6730E18     1.3540E17    1.3948E-10   1.8452E-12    56485.896597222    56486.157002315
1.9440E18     1.3540E17    1.4161E-10   2.0818E-12    56485.896597222    56486.157002315
2.2150E18     1.3540E17    1.3628E-10   2.2784E-12    56485.896597222    56486.157002315
2.4860E18     1.3540E17    1.3434E-10   2.6266E-12    56485.896597222    56486.157002315
2.7570E18     1.3540E17    1.3386E-10   3.0826E-12    56485.896597222    56486.157002315
3.0270E18     1.3540E17    1.3495E-10   3.6136E-12    56485.896597222    56486.157002315
3.2980E18     1.3540E17    1.3095E-10   4.0388E-12    56485.896597222    56486.157002315
3.5690E18     1.3540E17    1.2575E-10   4.4525E-12    56485.896597222    56486.157002315
3.8400E18     1.3540E17    1.2710E-10   4.9830E-12    56485.896597222    56486.157002315
4.1110E18     1.3540E17    1.2514E-10   5.4660E-12    56485.896597222    56486.157002315
4.3810E18     1.3540E17    1.1838E-10   5.8743E-12    56485.896597222    56486.157002315
4.6520E18     1.3540E17    1.2211E-10   6.5316E-12    56485.896597222    56486.157002315
4.9230E18     1.3540E17    1.1769E-10   7.0031E-12    56485.896597222    56486.157002315
5.1940E18     1.3540E17    1.2454E-10   7.8598E-12    56485.896597222    56486.157002315
5.4650E18     1.3540E17    1.1884E-10   8.3929E-12    56485.896597222    56486.157002315
5.7380E18     1.3780E17    1.1152E-10   8.8454E-12    56485.896597222    56486.157002315
6.0160E18     1.4020E17    1.0740E-10   9.4709E-12    56485.896597222    56486.157002315
6.2960E18     1.4020E17    1.1342E-10   1.0539E-11    56485.896597222    56486.157002315
6.5790E18     1.4270E17    1.0633E-10   1.1576E-11    56485.896597222    56486.157002315
6.8650E18     1.4270E17    9.8707E-11   1.2174E-11    56485.896597222    56486.157002315
7.1550E18     1.4750E17    1.0715E-10   1.3010E-11    56485.896597222    56486.157002315
7.4520E18     1.4990E17    1.0412E-10   1.3700E-11    56485.896597222    56486.157002315
7.7590E18     1.5720E17    1.2415E-10   1.5670E-11    56485.896597222    56486.157002315
8.0660E18     1.4990E17    1.2474E-10   1.7176E-11    56485.896597222    56486.157002315
8.3860E18     1.6930E17    1.1268E-10   1.6324E-11    56485.896597222    56486.157002315
8.7430E18     1.8860E17    1.0305E-10   1.5808E-11    56485.896597222    56486.157002315
9.1380E18     2.0550E17    9.5739E-11   1.5872E-11    56485.896597222    56486.157002315
9.5700E18     2.2730E17    8.8701E-11   1.5934E-11    56485.896597222    56486.157002315
1.0020E19     2.2250E17    1.0957E-10   1.8940E-11    56485.896597222    56486.157002315
1.0560E19     3.1920E17    8.9018E-11   1.5811E-11    56485.896597222    56486.157002315
1.1210E19     3.2880E17    1.0166E-10   1.8598E-11    56485.896597222    56486.157002315
1.1890E19     3.5060E17    1.0516E-10   2.0656E-11    56485.896597222    56486.157002315
1.2710E19     4.7150E17    1.1932E-10   2.2051E-11    56485.896597222    56486.157002315
