# RA = 11 04 27.30 (166.11375)
# Dec = +38 12 32.00 (38.208889)
# Redshift = 0.0
# nH = 1.34E20 cm^-2 
# NuBlazar (id = 116)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
8.6080E17     1.3540E17    1.2793E-10   7.7939E-13    56115.080601852    56116.073703704
1.1320E18     1.3540E17    1.0380E-10   7.0385E-13    56115.080601852    56116.073703704
1.4020E18     1.3540E17    8.7358E-11   7.0156E-13    56115.080601852    56116.073703704
1.6730E18     1.3540E17    7.5829E-11   7.2650E-13    56115.080601852    56116.073703704
1.9440E18     1.3540E17    6.6341E-11   7.6081E-13    56115.080601852    56116.073703704
2.2150E18     1.3540E17    5.8474E-11   7.9483E-13    56115.080601852    56116.073703704
2.4860E18     1.3540E17    5.2583E-11   8.7261E-13    56115.080601852    56116.073703704
2.7570E18     1.3540E17    4.8367E-11   9.8240E-13    56115.080601852    56116.073703704
3.0270E18     1.3540E17    4.4817E-11   1.1044E-12    56115.080601852    56116.073703704
3.2980E18     1.3540E17    4.0436E-11   1.1936E-12    56115.080601852    56116.073703704
3.5690E18     1.3540E17    3.6047E-11   1.2674E-12    56115.080601852    56116.073703704
3.8400E18     1.3540E17    3.5711E-11   1.4061E-12    56115.080601852    56116.073703704
4.1110E18     1.3540E17    3.3956E-11   1.5195E-12    56115.080601852    56116.073703704
4.3810E18     1.3540E17    2.8638E-11   1.5379E-12    56115.080601852    56116.073703704
4.6520E18     1.3540E17    2.9456E-11   1.7078E-12    56115.080601852    56116.073703704
4.9230E18     1.3540E17    2.6067E-11   1.7585E-12    56115.080601852    56116.073703704
5.1940E18     1.3540E17    2.5455E-11   1.9028E-12    56115.080601852    56116.073703704
5.4650E18     1.3540E17    2.3702E-11   2.0225E-12    56115.080601852    56116.073703704
5.7380E18     1.3780E17    2.5715E-11   2.2784E-12    56115.080601852    56116.073703704
6.0140E18     1.3780E17    2.4147E-11   2.4720E-12    56115.080601852    56116.073703704
6.2940E18     1.4270E17    2.1050E-11   2.5023E-12    56115.080601852    56116.073703704
6.5870E18     1.4990E17    2.2012E-11   2.8530E-12    56115.080601852    56116.073703704
6.8960E18     1.5960E17    1.6321E-11   2.8917E-12    56115.080601852    56116.073703704
7.2080E18     1.5230E17    2.3009E-11   3.4445E-12    56115.080601852    56116.073703704
7.5130E18     1.5230E17    1.6490E-11   3.4651E-12    56115.080601852    56116.073703704
7.8680E18     2.0310E17    1.6203E-11   3.0018E-12    56115.080601852    56116.073703704
8.2790E18     2.0790E17    1.6206E-11   3.1660E-12    56115.080601852    56116.073703704
8.7750E18     2.8770E17    1.2635E-11   2.6950E-12    56115.080601852    56116.073703704
9.3140E18     2.5150E17    1.8440E-11   3.7754E-12    56115.080601852    56116.073703704
9.9160E18     3.5060E17    1.2388E-11   3.1923E-12    56115.080601852    56116.073703704
1.0650E19     3.8200E17    1.4536E-11   3.6668E-12    56115.080601852    56116.073703704
1.1590E19     5.5610E17    1.0844E-11   3.4605E-12    56115.080601852    56116.073703704
1.8110E19     5.6100E17    5.0858E-11   2.4100E-11    56115.080601852    56116.073703704
8.6080E17     1.3540E17    1.4733E-10   1.0635E-12    56116.073703704    56116.608402778
1.1320E18     1.3540E17    1.1786E-10   9.4215E-13    56116.073703704    56116.608402778
1.4020E18     1.3540E17    9.8363E-11   9.3167E-13    56116.073703704    56116.608402778
1.6730E18     1.3540E17    8.4530E-11   9.5782E-13    56116.073703704    56116.608402778
1.9440E18     1.3540E17    7.4241E-11   1.0037E-12    56116.073703704    56116.608402778
2.2150E18     1.3540E17    6.4744E-11   1.0458E-12    56116.073703704    56116.608402778
2.4860E18     1.3540E17    5.6904E-11   1.1347E-12    56116.073703704    56116.608402778
2.7570E18     1.3540E17    5.1806E-11   1.2697E-12    56116.073703704    56116.608402778
3.0270E18     1.3540E17    4.7870E-11   1.4267E-12    56116.073703704    56116.608402778
3.2980E18     1.3540E17    4.3131E-11   1.5405E-12    56116.073703704    56116.608402778
3.5690E18     1.3540E17    4.0170E-11   1.6739E-12    56116.073703704    56116.608402778
3.8400E18     1.3540E17    3.9164E-11   1.8414E-12    56116.073703704    56116.608402778
4.1110E18     1.3540E17    3.3746E-11   1.8888E-12    56116.073703704    56116.608402778
4.3810E18     1.3540E17    3.1670E-11   2.0202E-12    56116.073703704    56116.608402778
4.6520E18     1.3540E17    2.9438E-11   2.1419E-12    56116.073703704    56116.608402778
4.9230E18     1.3540E17    2.9935E-11   2.3510E-12    56116.073703704    56116.608402778
5.1940E18     1.3540E17    3.2492E-11   2.6873E-12    56116.073703704    56116.608402778
5.4650E18     1.3540E17    2.6244E-11   2.6524E-12    56116.073703704    56116.608402778
5.7450E18     1.4510E17    2.5406E-11   2.7769E-12    56116.073703704    56116.608402778
6.0350E18     1.4510E17    1.9426E-11   2.7863E-12    56116.073703704    56116.608402778
6.3420E18     1.6200E17    2.1901E-11   3.0182E-12    56116.073703704    56116.608402778
6.6880E18     1.8380E17    1.9409E-11   3.1917E-12    56116.073703704    56116.608402778
7.0680E18     1.9590E17    1.9835E-11   3.5055E-12    56116.073703704    56116.608402778
