# RA = 22 02 43.20 (330.68)
# Dec = +42 16 40.00 (42.277778)
# Redshift = 0.0
# nH = 1.75E21 cm^-2 
# NuBlazar (id = 127)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
9.3480E18     1.7890E17    6.2790E-12   1.5442E-12    58740.233402778    58745.250798611
9.6890E18     1.6200E17    7.7437E-12   1.8352E-12    58740.233402778    58745.250798611
1.0060E19     2.1040E17    5.4538E-12   1.5612E-12    58740.233402778    58745.250798611
1.0450E19     1.7890E17    8.9607E-12   2.0879E-12    58740.233402778    58745.250798611
1.0820E19     1.9340E17    7.8614E-12   2.1266E-12    58740.233402778    58745.250798611
1.1210E19     1.9590E17    8.7219E-12   2.4264E-12    58740.233402778    58745.250798611
1.1600E19     1.9590E17    9.6682E-12   2.6920E-12    58740.233402778    58745.250798611
1.2010E19     2.1280E17    1.1398E-11   2.9258E-12    58740.233402778    58745.250798611
1.2440E19     2.1760E17    7.2191E-12   3.0166E-12    58740.233402778    58745.250798611
1.2900E19     2.4180E17    1.0341E-11   3.3976E-12    58740.233402778    58745.250798611
1.3370E19     2.2730E17    9.1800E-12   3.6899E-12    58740.233402778    58745.250798611
1.4940E19     2.5390E17    1.2585E-11   5.3163E-12    58740.233402778    58745.250798611
8.2700E17     1.0160E17    5.2037E-12   2.2227E-13    59133.587604167    59134.302905093
1.0300E18     1.0160E17    5.5840E-12   2.2229E-13    59133.587604167    59134.302905093
1.2330E18     1.0160E17    5.9749E-12   2.4222E-13    59133.587604167    59134.302905093
1.4360E18     1.0160E17    6.3669E-12   2.6665E-13    59133.587604167    59134.302905093
1.6390E18     1.0160E17    6.5166E-12   2.9185E-13    59133.587604167    59134.302905093
1.8430E18     1.0160E17    7.4187E-12   3.4021E-13    59133.587604167    59134.302905093
2.0460E18     1.0160E17    7.5330E-12   3.7272E-13    59133.587604167    59134.302905093
2.2490E18     1.0160E17    7.3501E-12   3.9980E-13    59133.587604167    59134.302905093
2.4520E18     1.0160E17    7.7922E-12   4.6519E-13    59133.587604167    59134.302905093
2.6550E18     1.0160E17    8.1811E-12   5.3651E-13    59133.587604167    59134.302905093
2.8580E18     1.0160E17    9.2132E-12   6.5732E-13    59133.587604167    59134.302905093
3.0610E18     1.0160E17    9.5702E-12   7.3466E-13    59133.587604167    59134.302905093
3.2640E18     1.0160E17    8.7745E-12   7.7951E-13    59133.587604167    59134.302905093
3.4670E18     1.0160E17    9.5478E-12   8.9458E-13    59133.587604167    59134.302905093
3.6730E18     1.0400E17    9.8028E-12   9.7001E-13    59133.587604167    59134.302905093
3.8780E18     1.0160E17    1.0074E-11   1.0772E-12    59133.587604167    59134.302905093
4.0820E18     1.0160E17    9.6373E-12   1.1385E-12    59133.587604167    59134.302905093
4.2870E18     1.0400E17    1.1382E-11   1.3281E-12    59133.587604167    59134.302905093
4.4930E18     1.0160E17    1.0406E-11   1.3842E-12    59133.587604167    59134.302905093
4.6960E18     1.0160E17    1.1789E-11   1.5801E-12    59133.587604167    59134.302905093
4.9090E18     1.1120E17    1.1091E-11   1.6018E-12    59133.587604167    59134.302905093
5.1330E18     1.1360E17    1.0110E-11   1.6455E-12    59133.587604167    59134.302905093
5.3750E18     1.2820E17    1.0231E-11   1.7020E-12    59133.587604167    59134.302905093
5.6480E18     1.4510E17    1.0073E-11   1.7777E-12    59133.587604167    59134.302905093
5.9240E18     1.3060E17    1.1168E-11   2.2373E-12    59133.587604167    59134.302905093
6.1800E18     1.2570E17    1.3918E-11   2.7067E-12    59133.587604167    59134.302905093
6.4830E18     1.7650E17    1.0417E-11   2.2259E-12    59133.587604167    59134.302905093
6.8160E18     1.5720E17    1.5079E-11   3.2134E-12    59133.587604167    59134.302905093
7.1260E18     1.5230E17    1.5354E-11   3.6179E-12    59133.587604167    59134.302905093
7.4960E18     2.1760E17    9.3101E-12   2.9224E-12    59133.587604167    59134.302905093
7.9990E18     2.8530E17    9.5548E-12   2.7298E-12    59133.587604167    59134.302905093
8.5450E18     2.6110E17    1.4657E-11   3.6049E-12    59133.587604167    59134.302905093
9.0630E18     2.5630E17    1.4182E-11   4.1903E-12    59133.587604167    59134.302905093
9.5850E18     2.6600E17    2.2247E-11   5.3649E-12    59133.587604167    59134.302905093
1.0050E19     2.0070E17    2.1217E-11   6.4421E-12    59133.587604167    59134.302905093
9.9570E18     3.0470E17    1.7610E-11   4.6710E-12    59133.587604167    59134.302905093
1.0570E19     3.0470E17    1.1576E-11   4.9447E-12    59133.587604167    59134.302905093
8.2700E17     1.0160E17    9.8591E-12   3.6313E-13    59442.087604167    59442.636203704
1.0300E18     1.0160E17    1.0386E-11   3.5944E-13    59442.087604167    59442.636203704
1.2330E18     1.0160E17    1.1043E-11   3.9109E-13    59442.087604167    59442.636203704
1.4360E18     1.0160E17    1.1439E-11   4.2389E-13    59442.087604167    59442.636203704
1.6390E18     1.0160E17    1.2603E-11   4.8190E-13    59442.087604167    59442.636203704
1.8430E18     1.0160E17    1.2919E-11   5.3237E-13    59442.087604167    59442.636203704
2.0460E18     1.0160E17    1.2980E-11   5.7911E-13    59442.087604167    59442.636203704
2.2490E18     1.0160E17    1.4191E-11   6.6002E-13    59442.087604167    59442.636203704
2.4520E18     1.0160E17    1.4345E-11   7.5028E-13    59442.087604167    59442.636203704
2.6550E18     1.0160E17    1.4423E-11   8.4667E-13    59442.087604167    59442.636203704
2.8580E18     1.0160E17    1.4872E-11   9.9235E-13    59442.087604167    59442.636203704
3.0610E18     1.0160E17    1.5145E-11   1.1034E-12    59442.087604167    59442.636203704
3.2640E18     1.0160E17    1.4582E-11   1.1989E-12    59442.087604167    59442.636203704
3.4670E18     1.0160E17    1.6683E-11   1.4029E-12    59442.087604167    59442.636203704
3.6710E18     1.0160E17    1.5415E-11   1.4636E-12    59442.087604167    59442.636203704
3.8740E18     1.0160E17    1.8575E-11   1.7441E-12    59442.087604167    59442.636203704
4.0790E18     1.0400E17    1.9139E-11   1.8989E-12    59442.087604167    59442.636203704
4.2900E18     1.0640E17    1.7580E-11   1.9351E-12    59442.087604167    59442.636203704
4.5050E18     1.0880E17    1.7074E-11   2.0541E-12    59442.087604167    59442.636203704
4.7150E18     1.0160E17    2.2153E-11   2.5986E-12    59442.087604167    59442.636203704
4.9230E18     1.0640E17    1.8289E-11   2.4932E-12    59442.087604167    59442.636203704
5.1360E18     1.0640E17    1.8372E-11   2.6983E-12    59442.087604167    59442.636203704
5.3610E18     1.1850E17    2.0747E-11   2.9726E-12    59442.087604167    59442.636203704
5.5880E18     1.0880E17    2.1865E-11   3.4399E-12    59442.087604167    59442.636203704
5.8060E18     1.0880E17    2.0701E-11   3.6768E-12    59442.087604167    59442.636203704
6.0350E18     1.2090E17    2.2071E-11   4.1354E-12    59442.087604167    59442.636203704
6.2890E18     1.3300E17    2.3752E-11   4.0905E-12    59442.087604167    59442.636203704
