MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1138048033090,12.22,0.05,166.11401,38.20901,54095.39818,0
1138048033090,12.22,0.05,166.11404,38.20902,54095.42301,0
1138048033090,12.61,0.06,166.11394,38.20892,53902.22979,0
1138048033090,12.68,0.06,166.11401,38.20893,53902.23176,0
1138048033090,12.60,0.06,166.11423,38.20907,53902.23276,0
1138048033090,12.59,0.06,166.11422,38.20906,53866.26385,0
1138048033090,12.70,0.06,166.11394,38.20904,53866.26459,0
1138048033090,12.62,0.06,166.11413,38.20900,53866.26533,0
1138048033090,12.59,0.06,166.11417,38.20902,53866.26626,0
1138048033090,12.37,0.05,166.11401,38.20903,54158.20064,0
1138048033090,12.31,0.05,166.11403,38.20900,54158.21487,0
1138048033090,12.46,0.05,166.11409,38.20905,54260.19479,0
1138048033090,12.44,0.05,166.11403,38.20899,54273.20849,0
1138048033090,12.43,0.05,166.11397,38.20904,54273.21443,0
1138048033090,12.12,0.05,166.11400,38.20901,54169.23305,0
1138048033090,12.11,0.05,166.11399,38.20900,54169.24122,0
1138048033090,11.97,0.05,166.11401,38.20901,54176.30403,0
1138048033090,12.38,0.05,166.11404,38.20903,54244.20814,0
1138048033090,12.29,0.05,166.11398,38.20902,54417.49631,0
1138048033090,12.26,0.05,166.11402,38.20902,54559.19128,0
1138048033090,12.51,0.05,166.11407,38.20904,54572.24563,0
1138048033090,12.39,0.05,166.11409,38.20904,54572.25127,0
1138048033090,12.51,0.05,166.11407,38.20902,54572.25691,0
1138048033090,12.29,0.05,166.11405,38.20901,54584.21360,0
1138048033090,12.25,0.05,166.11402,38.20905,54805.43454,0
1138048033090,11.66,0.05,166.11395,38.20906,54497.23788,0
1138048033090,11.43,0.05,166.11388,38.20909,54497.24227,0
1138048033090,11.16,0.05,166.11394,38.20908,54497.24664,0
1138048033090,11.65,0.05,166.11396,38.20910,54497.25103,0
1138048033090,12.06,0.05,166.11397,38.20903,54507.30568,0
1138048033090,11.92,0.05,166.11399,38.20897,54507.31321,0
1138048033090,12.00,0.05,166.11399,38.20900,54507.32069,0
1138048033090,12.09,0.05,166.11397,38.20898,54480.26016,0
1138048033090,12.17,0.05,166.11399,38.20898,54535.39693,0
1138048033090,12.56,0.05,166.11375,38.20905,54548.35659,0
1138048033090,12.42,0.05,166.11409,38.20905,54548.36271,0
1138048033090,12.46,0.05,166.11408,38.20905,54548.36886,0
1138048033090,12.47,0.05,166.11395,38.20905,54548.37502,0
1138048033090,12.10,0.05,166.11404,38.20896,54594.28570,0
1138048033090,12.11,0.05,166.11401,38.20897,54594.29327,0
1138048033090,12.18,0.05,166.11408,38.20898,54594.30083,0
1138048033090,12.29,0.05,166.11407,38.20901,54790.52407,0
1138048033090,12.00,0.05,166.11398,38.20899,55183.41274,0
1138048033090,12.16,0.05,166.11401,38.20900,55183.42203,0
1138048033090,12.45,0.05,166.11401,38.20897,54875.39484,0
1138048033090,12.33,0.05,166.11396,38.20905,54952.29581,0
1138048033090,12.38,0.05,166.11397,38.20903,54952.30375,0
1138048033090,12.10,0.05,166.11402,38.20900,54975.22074,0
1138048033090,11.98,0.05,166.11400,38.20901,54975.22912,0
1138048033090,12.33,0.05,166.11411,38.20905,55293.31841,0
1138048033090,12.29,0.05,166.11404,38.20898,55302.18794,0
1138048033090,12.12,0.05,166.11400,38.20904,55244.34991,0
1138048033090,12.13,0.05,166.11399,38.20901,55244.35625,0
1138048033090,12.26,0.05,166.11406,38.20899,55355.17252,0
1138048033090,12.23,0.05,166.11402,38.20907,55322.24807,0
1138048033090,12.27,0.05,166.11405,38.20900,55322.25910,0
1138048033090,12.24,0.05,166.11400,38.20906,55326.13044,0
1138048033090,12.35,0.05,166.11400,38.20904,55337.23496,0
1138048033090,12.37,0.05,166.11399,38.20904,55337.24586,0
1138048033090,11.89,0.05,166.11397,38.20895,55528.47490,0
1138048033090,11.82,0.05,166.11394,38.20898,55528.48890,0
1138048033090,11.58,0.05,166.11391,38.20893,55576.30781,0
1138048033090,11.56,0.05,166.11395,38.20890,55576.31466,0
1138048033090,11.56,0.05,166.11394,38.20893,55576.32148,0
